_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,_id_s,ilce_adi_s,mahalle_adi_s,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,n_bldg,heavy,dmg_any,heavy_ratio
613,MALTEPE,ÝDEALTEPE,40609,129,688,126,371,568,4,613,MALTEPE,ÝDEALTEPE,40609,4,12,84,270,7,3,22,47,0,0,1,702,943,16,370,0.016967126193001062
614,MALTEPE,KÜÇÜKYALI MERKEZ,40611,390,625,99,433,678,3,614,MALTEPE,KÜÇÜKYALI MERKEZ,40611,6,15,100,315,9,4,27,57,0,0,1,816,1114,21,436,0.018850987432675045
615,MALTEPE,YALI,40616,303,559,100,638,247,77,615,MALTEPE,YALI,40616,25,57,212,320,20,11,55,102,1,1,2,1208,962,82,614,0.08523908523908524
616,MALTEPE,ZÜMRÜTEVLER,40623,311,2016,738,1229,1588,248,616,MALTEPE,ZÜMRÜTEVLER,40623,13,43,270,855,18,8,58,128,1,1,2,2444,3065,56,1181,0.01827079934747145
617,PENDÝK,AHMET YESEVÝ,40632,27,1294,524,1254,578,13,617,PENDÝK,AHMET YESEVÝ,40632,7,38,233,524,6,2,24,59,1,1,2,1282,1845,45,802,0.024390243902439025
618,PENDÝK,BAHÇELÝEVLER,40628,284,347,426,673,345,39,618,PENDÝK,BAHÇELÝEVLER,40628,7,23,130,306,6,3,19,38,0,0,1,609,1057,30,466,0.02838221381267739
619,PENDÝK,BALLICA,191755,14,117,197,327,1,0,619,PENDÝK,BALLICA,191755,1,4,25,60,0,0,0,0,0,0,0,28,328,5,90,0.01524390243902439
620,PENDÝK,BATI,40633,231,361,339,338,589,4,620,PENDÝK,BATI,40633,8,23,122,309,8,4,25,50,0,0,1,737,931,31,462,0.03329752953813104
621,PENDÝK,ÇAMÇEÞME,40649,413,1105,321,910,906,23,621,PENDÝK,ÇAMÇEÞME,40649,7,23,161,487,8,4,26,57,0,0,1,1046,1839,30,678,0.01631321370309951
622,PENDÝK,ÇAMLIK,40656,0,365,663,854,117,57,622,PENDÝK,ÇAMLIK,40656,3,19,114,243,1,0,5,21,0,1,1,616,1028,22,379,0.021400778210116732
623,PENDÝK,ÇINARDERE,40644,498,618,319,1063,357,15,623,PENDÝK,ÇINARDERE,40644,11,38,188,386,8,6,27,56,0,0,1,958,1435,49,623,0.03414634146341464
624,PENDÝK,DOÐU,40627,111,479,347,366,496,75,624,PENDÝK,DOÐU,40627,9,26,130,321,10,5,30,59,1,1,1,813,937,35,486,0.03735325506937033
625,PENDÝK,DUMLUPINAR,40626,859,879,513,1721,514,16,625,PENDÝK,DUMLUPINAR,40626,17,58,286,611,11,8,38,82,1,1,1,1398,2251,75,972,0.03331852509995557
626,PENDÝK,EMÝRLÝ,191757,19,88,149,253,3,0,626,PENDÝK,EMÝRLÝ,191757,0,2,12,36,0,0,0,0,0,0,0,14,256,2,50,0.0078125
627,PENDÝK,ERTUÐRUL GAZÝ,40635,2,2876,407,3265,20,0,627,PENDÝK,ERTUÐRUL GAZÝ,40635,29,107,405,796,7,9,40,85,0,1,1,720,3285,136,1337,0.041400304414003046
628,PENDÝK,ESENLER,40638,103,747,771,830,754,37,628,PENDÝK,ESENLER,40638,3,15,111,366,2,1,12,31,0,0,1,782,1621,18,495,0.011104256631708822
629,PENDÝK,ESENYALI,40643,124,616,245,195,224,566,629,PENDÝK,ESENYALI,40643,5,14,65,277,7,3,19,37,0,0,1,357,985,19,361,0.019289340101522844
630,PENDÝK,FATÝH,40647,129,977,358,897,564,3,630,PENDÝK,FATÝH,40647,6,25,163,415,6,3,19,43,0,0,1,905,1464,31,609,0.02117486338797814
