_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,lon,lat,area_km2,match,vs30_point,vs30_mean,vs30_min,vs30_max,vs30_used,vs30_source,vs30_flag
229,BEYOĞLU,EVLİYA ÇELEBİ,40282,80,23,6,24,72,13,29.286963,40.839499,3.009,name-only,600.0,417.9,188.107177734375,600.0,417.9,polygon mean,water
230,BEYOĞLU,FETİHTEPE,40262,1188,330,135,1164,487,2,28.956903,41.048279,0.328,name+spatial,384.8,453.0,384.77313232421875,525.2611083984375,453.0,polygon mean,ok
231,BEYOĞLU,FİRUZAĞA,40276,337,126,58,260,260,1,28.980693,41.030191,0.103,name+spatial,460.7,432.4,417.8989562988281,460.6761169433594,432.4,polygon mean,ok
232,BEYOĞLU,GÜMÜŞSUYU,40278,225,119,28,116,223,33,28.988308,41.037181,0.359,name+spatial,495.5,462.7,389.62646484375,505.1543273925781,462.7,polygon mean,ok
233,BEYOĞLU,HACIAHMET,40280,522,502,60,629,446,9,28.973977,41.042208,0.337,name+spatial,432.4,428.8,425.193603515625,432.37322998046875,428.8,polygon mean,ok
234,BEYOĞLU,HACIMİMİ,40285,215,116,22,188,159,6,28.978291,41.0268,0.092,name+spatial,313.4,365.6,313.3907470703125,417.8989562988281,365.6,polygon mean,ok
235,BEYOĞLU,HALICIOĞLU,40304,336,214,91,229,407,5,28.949757,41.048851,0.408,name+spatial,525.3,423.1,376.9234619140625,525.2611083984375,423.1,polygon mean,ok
236,BEYOĞLU,HÜSEYİNAĞA,40272,169,74,44,76,204,7,28.978492,41.034991,0.064,name+spatial,418.7,439.7,418.68621826171875,460.6761169433594,439.7,polygon mean,ok
237,BEYOĞLU,İSTİKLAL,40279,826,242,83,1107,30,14,,,,UNMATCHED,,,,,,none,no_geometry
238,BEYOĞLU,KADI MEHMET EFENDİ,40267,254,171,102,178,347,2,28.963868,41.034352,0.134,name+spatial,420.1,393.5,366.8721923828125,420.1161193847656,393.5,polygon mean,ok
239,BEYOĞLU,KALYONCU KULLUĞU,40270,331,79,8,217,200,1,28.975695,41.036718,0.049,name+spatial,418.7,425.5,418.68621826171875,432.37322998046875,425.5,polygon mean,ok
240,BEYOĞLU,KAMER HATUN,40271,202,37,9,132,113,3,28.975207,41.03491,0.065,name+spatial,418.7,418.7,418.68621826171875,418.68621826171875,418.7,polygon mean,ok
241,BEYOĞLU,KAPTANPAŞA,40264,578,520,202,764,535,1,28.963853,41.042287,0.412,name+spatial,400.9,437.6,400.8831481933594,474.2667236328125,437.6,polygon mean,ok
242,BEYOĞLU,KATİPMUSTAFA ÇELEBİ,40274,177,95,93,93,265,7,28.983034,41.034515,0.086,name+spatial,460.7,460.7,460.6761169433594,460.6761169433594,460.7,polygon mean,ok
243,BEYOĞLU,KEÇECİ PİRİ,40302,879,521,86,1071,415,0,28.955184,41.040702,0.35,name+spatial,474.3,423.0,366.8721923828125,474.2667236328125,423.0,polygon mean,ok
244,BEYOĞLU,KEMANKEŞ KARAMUSTAFAPAŞA,40297,232,82,0,128,184,2,28.978683,41.024105,0.137,name+spatial,313.4,365.6,313.3907470703125,417.8989562988281,365.6,polygon mean,ok
245,BEYOĞLU,KILIÇALİ PAŞA,40296,221,104,15,116,202,22,28.984119,41.028417,0.239,name+spatial,417.9,493.5,417.8989562988281,600.0,493.5,polygon mean,ok
246,BEYOĞLU,KOCATEPE,40277,364,170,50,255,276,53,28.983421,41.040021,0.158,name+district,389.6,389.6,389.62646484375,389.62646484375,389.6,polygon mean,ok
247,BEYOĞLU,KULAKSIZ,40266,279,181,35,217,277,1,28.960726,41.038059,0.278,name+spatial,474.3,415.5,366.8721923828125,474.2667236328125,415.5,polygon mean,ok
248,BEYOĞLU,KULOĞLU,40288,243,106,49,117,279,2,28.980283,41.032967,0.107,name+spatial,460.7,439.7,418.68621826171875,460.6761169433594,439.7,polygon mean,ok
249,BEYOĞLU,KÜÇÜK PİYALE,40268,325,240,48,343,266,4,28.967624,41.036875,0.198,name+spatial,420.1,418.0,400.8831481933594,432.37322998046875,418.0,polygon mean,ok
250,BEYOĞLU,MÜEYYETZADE,40286,150,120,19,138,144,7,,,,UNMATCHED,,,,,,none,no_geometry
251,BEYOĞLU,ÖMER AVNİ,40294,230,92,6,98,224,6,28.991891,41.03489,0.233,name+spatial,495.5,500.3,495.48040771484375,505.1543273925781,500.3,polygon mean,ok
252,BEYOĞLU,ÖRNEKTEPE,40305,775,192,218,936,236,13,28.951365,41.058045,0.574,name+spatial,471.8,428.5,280.7748718261719,525.2611083984375,428.5,polygon mean,ok
253,BEYOĞLU,PİRİPAŞA,40303,882,417,136,1060,374,1,28.951115,41.044861,0.495,name+spatial,427.9,442.6,384.77313232421875,525.2611083984375,442.6,polygon mean,ok
254,BEYOĞLU,PİYALEPAŞA,40263,1554,570,12,1381,755,0,28.962433,41.048185,0.495,name+spatial,384.8,418.9,384.77313232421875,474.2667236328125,418.9,polygon mean,ok
255,BEYOĞLU,PÜRTELAŞ HASAN EFENDİ,40295,159,101,20,98,170,12,28.987774,41.03074,0.108,name+spatial,495.5,493.5,417.8989562988281,600.0,493.5,polygon mean,ok
256,BEYOĞLU,SURURİ MEHMET EFENDİ,40289,365,105,5,359,114,2,28.972391,41.036848,0.107,name+spatial,418.7,423.7,418.68621826171875,432.37322998046875,423.7,polygon mean,ok
257,BEYOĞLU,SÜTLÜCE,40306,417,160,213,433,348,9,28.94469,41.051016,0.678,name+spatial,376.9,437.9,376.9234619140625,525.2611083984375,437.9,polygon mean,ok
258,BEYOĞLU,ŞAHKULU,40284,202,87,56,130,211,4,28.974546,41.027661,0.085,name+spatial,313.4,366.0,313.3907470703125,418.68621826171875,366.0,polygon mean,ok
259,BEYOĞLU,ŞEHİT MUHTAR,40273,420,143,40,227,354,22,28.981915,41.036774,0.097,name+spatial,460.7,425.2,389.62646484375,460.6761169433594,425.2,polygon mean,ok
260,BEYOĞLU,TOMTOM,40287,260,107,53,186,227,7,28.977566,41.030208,0.14,name+spatial,418.7,402.7,313.3907470703125,460.6761169433594,402.7,polygon mean,ok
261,BEYOĞLU,YAHYA KAHYA,40290,311,114,7,308,124,0,28.97154,41.033976,0.084,name+spatial,418.7,419.4,418.68621826171875,420.1161193847656,419.4,polygon mean,ok
